"B73_S1","B73_S2","B73_S3","B73_S4","Mo17_S1","Mo17_S2","Mo17_S3","Mo17_S4","H_S1","H_S2","H_S3","H_S4","acs_S1","acs_S2","acs_S3","acs_S4","B73_S34","Mo17_S34","H_S34","acs_S34"
3341013.451,4377298.036,5317457.32,5012434.563,4207841.117,6542745.398,7462493.22,8741004.464,3237998.847,4949144.007,6519857.496,7892605.84,2794626.435,4285048.689,4909708.678,5594517.826,5164945.9415,8101748.842,7206231.668,5252113.252
6298178.369,6224992.663,5181660.709,5765175.29,5488257.792,5065062.163,5190707.004,4967487.603,6024966.992,5320547.255,5467492.517,5103062.333,5957172.244,5878238.764,5693488.418,5622532.778,5473417.9995,5079097.3035,5285277.425,5658010.598
9448886.633,8767373.087,9216326.975,9769069.205,10451854.38,11802051.87,12390237.58,13794907.47,7445582.879,7858142.058,9482095.346,10875456.97,11798732.27,9357759.484,9855110.756,9957955.516,9492698.09,13092572.525,10178776.158,9906533.136
10391781.02,12012010,12561545.25,10706103.02,9824932.572,11032119.22,10764944.99,10706895.77,9150306.227,10840145.48,10997836.81,11462415,10140520.15,13456386.67,12157310.25,11936307.05,11633824.135,10735920.38,11230125.905,12046808.65
197803737.7,281545339.1,355286395.5,379656546.1,192136015.3,310349503.5,368873633.9,384203016.5,143554397.6,276583976.4,366146847.7,435006151.2,149396204.7,305025893.9,417750110.9,477846102.4,367471470.8,376538325.2,400576499.45,447798106.65
74517371.25,101607715.7,122826850.3,115824295.3,105131039.4,155699498.1,157250591.5,158140630.8,51350115.6,106791573.7,128325180.3,146000681.5,58317676.34,97557369.4,114971403.9,133051892.6,119325572.8,157695611.15,137162930.9,124011648.25
16926027.42,16936319.32,17773409.32,16782529.2,19493138.02,22784399.08,22101603.03,21271997.09,19128470.97,20357584.53,20545821.53,20317734.48,14636448.41,16125407.27,15967126.73,17816620.03,17277969.26,21686800.06,20431778.005,16891873.38
3655546.276,3368804.325,3348270.611,3212807.704,3235116.08,3212551.613,3221435.951,3297396.293,3548056.461,3274819.147,3345718.785,3547580.649,3951899.056,3559908.47,3518582.491,3447187.839,3280539.1575,3259416.122,3446649.717,3482885.165
2917796.91,2848639.713,2833932.828,2766145.851,2630217.034,2552438.18,2543307.784,2601057.917,2767586.92,2606138.718,2621073.009,2693907.287,2525399.082,2528682.893,2559709.86,2651901.43,2800039.3395,2572182.8505,2657490.148,2605805.645
14997743.92,15666368.59,19213490.18,21893236.08,18478982.39,19520733.33,20721303.14,26334409.26,17352401.73,18176973.79,21895602.31,27929378.64,17680343.74,18161710.47,25183186.05,37537416.62,20553363.13,23527856.2,24912490.475,31360301.335
15028068.18,20467680.78,24087718.29,23010488.38,22169156.74,33905511.11,34777665.56,33439443.66,13511018.49,24476810.05,29894968.11,31804572.7,13520141.67,25878230.76,28375291.02,31472392.1,23549103.335,34108554.61,30849770.405,29923841.56
107879623.4,115431307.9,131962979.4,124822768.5,82576499.93,95462250.06,100037525.1,111156025.8,93562170.78,113118218.5,125450240.6,137524420.1,89500996.62,121501476,125191587.5,146873207.3,128392873.95,105596775.45,131487330.35,136032397.4
