"","values","ind","section","data"
"201",0.10408709589879,"S1_HMP","S1","HMP"
"202",-0.379243423784356,"S1_HMP","S1","HMP"
"203",0.358251715804615,"S1_HMP","S1","HMP"
"204",-0.065655372716803,"S1_HMP","S1","HMP"
"205",0.230752430571609,"S1_HMP","S1","HMP"
"206",-0.351931304295906,"S1_HMP","S1","HMP"
"207",-0.165752245236801,"S1_HMP","S1","HMP"
"208",0.125623900542499,"S1_HMP","S1","HMP"
"209",0.596039580089453,"S1_HMP","S1","HMP"
"210",0.0987707470709722,"S1_HMP","S1","HMP"
"211",-0.154376114186886,"S1_HMP","S1","HMP"
"212",0.117638469423171,"S1_HMP","S1","HMP"
"213",0.235513703397909,"S1_HMP","S1","HMP"
"214",-0.52699536242998,"S1_HMP","S1","HMP"
"215",-0.177163382011392,"S1_HMP","S1","HMP"
"216",-0.14651078976678,"S1_HMP","S1","HMP"
"217",-0.409986063434577,"S1_HMP","S1","HMP"
"218",-0.544275092603889,"S1_HMP","S1","HMP"
"219",-0.016034855762899,"S1_HMP","S1","HMP"
"220",-0.259517921617154,"S1_HMP","S1","HMP"
"221",-0.0996056189585037,"S1_HMP","S1","HMP"
"222",-0.138803156816493,"S1_HMP","S1","HMP"
"223",-0.850296087569444,"S1_HMP","S1","HMP"
"224",-0.126100341755284,"S1_HMP","S1","HMP"
"225",-0.0577813550337318,"S1_HMP","S1","HMP"
"226",-0.177584397203512,"S1_HMP","S1","HMP"
"227",-0.451164201287721,"S1_HMP","S1","HMP"
"228",-0.165734441085711,"S1_HMP","S1","HMP"
"229",-0.742355919556728,"S1_HMP","S1","HMP"
"230",-0.142235787879225,"S1_HMP","S1","HMP"
"231",-0.423476577975932,"S1_HMP","S1","HMP"
"232",-0.280372876515262,"S1_HMP","S1","HMP"
"233",-0.160949365617563,"S1_HMP","S1","HMP"
"234",-1.11224844379643,"S1_HMP","S1","HMP"
"235",-0.0397901586697275,"S1_HMP","S1","HMP"
"236",-0.116064037691539,"S1_HMP","S1","HMP"
"237",-0.0747574252280784,"S1_HMP","S1","HMP"
"238",-0.221810121790021,"S1_HMP","S1","HMP"
"239",-0.351990880212682,"S1_HMP","S1","HMP"
"240",-0.37299442501722,"S1_HMP","S1","HMP"
"241",-0.154653326771423,"S1_HMP","S1","HMP"
"242",-0.0252252126735401,"S1_HMP","S1","HMP"
"243",-0.568926219851303,"S1_HMP","S1","HMP"
"244",0.0225947025802052,"S1_HMP","S1","HMP"
"245",-0.64469191633089,"S1_HMP","S1","HMP"
"246",-0.0846340651657893,"S1_HMP","S1","HMP"
"247",0.200523527923038,"S1_HMP","S1","HMP"
"248",0.0163587771116336,"S1_HMP","S1","HMP"
"249",0.00147284195123344,"S1_HMP","S1","HMP"
"250",-0.084785377816674,"S1_HMP","S1","HMP"
"251",-0.0183479032364057,"S1_HMP","S1","HMP"
"252",-0.29408109115722,"S1_HMP","S1","HMP"
"253",-0.412051670754134,"S1_HMP","S1","HMP"
"254",-0.372803103891573,"S1_HMP","S1","HMP"
"255",-0.0601684554975032,"S1_HMP","S1","HMP"
"256",-0.390351462390445,"S1_HMP","S1","HMP"
"257",-0.193810336073029,"S1_HMP","S1","HMP"
"258",-0.332766112742461,"S1_HMP","S1","HMP"
"259",0.135831815804235,"S1_HMP","S1","HMP"
"260",-0.0014868412196636,"S1_HMP","S1","HMP"
"261",0.0111214140704445,"S1_HMP","S1","HMP"
"262",-0.0894141983210137,"S1_HMP","S1","HMP"
"263",-0.0622217051522323,"S1_HMP","S1","HMP"
"264",0.0431365590613162,"S1_HMP","S1","HMP"
"265",-0.150312412953491,"S1_HMP","S1","HMP"
"266",0.00016312802449398,"S1_HMP","S1","HMP"
"267",-0.333408771678072,"S1_HMP","S1","HMP"
"268",-0.0373216402558328,"S1_HMP","S1","HMP"
"269",0.188598202768493,"S1_HMP","S1","HMP"
"270",0.090928804926193,"S1_HMP","S1","HMP"
"271",-0.49769433829452,"S1_HMP","S1","HMP"
"272",-0.186619871017226,"S1_HMP","S1","HMP"
"273",-0.19110210077862,"S1_HMP","S1","HMP"
"274",-0.0175715635448632,"S1_HMP","S1","HMP"
"275",-0.0383906894381716,"S1_HMP","S1","HMP"
"276",-0.00436629975747774,"S1_HMP","S1","HMP"
"277",-0.3130097535234,"S1_HMP","S1","HMP"
"278",-0.196090048773963,"S1_HMP","S1","HMP"
"279",0.12745691991963,"S1_HMP","S1","HMP"
"280",-0.223545597497611,"S1_HMP","S1","HMP"
"281",-0.0269650898156473,"S1_HMP","S1","HMP"
"282",-0.00689845595825784,"S1_HMP","S1","HMP"
"283",1.30303861010542,"S1_HMP","S1","HMP"
"284",-0.371126315807856,"S1_HMP","S1","HMP"
"285",0.00723504144362518,"S1_HMP","S1","HMP"
"286",-0.546643670803038,"S1_HMP","S1","HMP"
"287",-0.0029253192217665,"S1_HMP","S1","HMP"
"288",-0.0400975821011927,"S1_HMP","S1","HMP"
"289",-0.432012107236293,"S1_HMP","S1","HMP"
"290",0.122954447185289,"S1_HMP","S1","HMP"
"291",-0.386335850591474,"S1_HMP","S1","HMP"
"292",-0.157578825166093,"S1_HMP","S1","HMP"
"293",-0.141006669036274,"S1_HMP","S1","HMP"
"294",-0.306974940864483,"S1_HMP","S1","HMP"
"295",0.163185253819277,"S1_HMP","S1","HMP"
"296",-0.234475837322775,"S1_HMP","S1","HMP"
"297",-0.0609989307339895,"S1_HMP","S1","HMP"
"298",-0.0967633646650844,"S1_HMP","S1","HMP"
"299",-0.0541034907711316,"S1_HMP","S1","HMP"
"300",-0.0680699950029418,"S1_HMP","S1","HMP"
"301",-0.211003066110521,"S1_HMP","S1","HMP"
"302",-0.0919426372828092,"S1_HMP","S1","HMP"
"303",-0.128767382732048,"S1_HMP","S1","HMP"
"304",0.0888393600392762,"S1_HMP","S1","HMP"
"305",-0.308589870487573,"S1_HMP","S1","HMP"
"306",0.0125086687247788,"S1_HMP","S1","HMP"
"307",-0.366939486794427,"S1_HMP","S1","HMP"
"308",-0.161881405877339,"S1_HMP","S1","HMP"
"309",-0.246213344074635,"S1_HMP","S1","HMP"
"310",-0.277653673785093,"S1_HMP","S1","HMP"
"311",-0.227545297640691,"S1_HMP","S1","HMP"
"312",-0.0412073107171937,"S1_HMP","S1","HMP"
"313",-0.507193087987641,"S1_HMP","S1","HMP"
"314",-0.356343145970071,"S1_HMP","S1","HMP"
"315",-0.0250602448139528,"S1_HMP","S1","HMP"
"316",0.0746261979783353,"S1_HMP","S1","HMP"
"317",-0.20537591875064,"S1_HMP","S1","HMP"
"318",0.0217704614558225,"S1_HMP","S1","HMP"
"319",0.181135829501125,"S1_HMP","S1","HMP"
"320",-0.257870357387757,"S1_HMP","S1","HMP"
"321",-0.176868705699768,"S1_HMP","S1","HMP"
"322",0.562116233460953,"S1_HMP","S1","HMP"
"323",0.310515470697226,"S1_HMP","S1","HMP"
"324",0.00573327807105913,"S1_HMP","S1","HMP"
"325",-0.343194254438553,"S1_HMP","S1","HMP"
"326",-0.267385984565987,"S1_HMP","S1","HMP"
"327",-0.231574331744274,"S1_HMP","S1","HMP"
"328",0.120766689236202,"S1_HMP","S1","HMP"
"329",-0.028998353542372,"S1_HMP","S1","HMP"
"330",0.10859923727819,"S1_HMP","S1","HMP"
"331",0.23247133437425,"S1_HMP","S1","HMP"
"332",0.068077755878244,"S1_HMP","S1","HMP"
"333",-0.529141264015414,"S1_HMP","S1","HMP"
"334",-0.0248181292389571,"S1_HMP","S1","HMP"
"335",0.0163150551368685,"S1_HMP","S1","HMP"
"336",-0.0969089186548048,"S1_HMP","S1","HMP"
"337",-0.450595182555019,"S1_HMP","S1","HMP"
"338",-0.307239115046282,"S1_HMP","S1","HMP"
"339",0.0484874058576231,"S1_HMP","S1","HMP"
"340",-0.0846613901139863,"S1_HMP","S1","HMP"
"341",-0.272199746606678,"S1_HMP","S1","HMP"
"342",-0.230068388389309,"S1_HMP","S1","HMP"
"343",-0.398208878266099,"S1_HMP","S1","HMP"
"344",-0.16251075951755,"S1_HMP","S1","HMP"
"345",-0.396649069994397,"S1_HMP","S1","HMP"
"346",0.0118329796406406,"S1_HMP","S1","HMP"
"347",0.00875256487551797,"S1_HMP","S1","HMP"
"348",-0.204191084547725,"S1_HMP","S1","HMP"
"349",-0.0242801444903835,"S1_HMP","S1","HMP"
"350",-0.154173884425674,"S1_HMP","S1","HMP"
"351",-0.182838831187951,"S1_HMP","S1","HMP"
"352",-0.146542744345458,"S1_HMP","S1","HMP"
"353",-0.270125201675004,"S1_HMP","S1","HMP"
"354",-0.261943376284253,"S1_HMP","S1","HMP"
"355",-0.283184066019058,"S1_HMP","S1","HMP"
"356",-0.422526518064453,"S1_HMP","S1","HMP"
"357",0.517359577000775,"S1_HMP","S1","HMP"
"358",-0.455118503059858,"S1_HMP","S1","HMP"
"359",-0.0195554470300408,"S1_HMP","S1","HMP"
"360",-0.603696091830574,"S1_HMP","S1","HMP"
"361",-0.309507624011212,"S1_HMP","S1","HMP"
"362",0.13420224037122,"S1_HMP","S1","HMP"
"363",-0.0627117180601555,"S1_HMP","S1","HMP"
"364",0.0475785097667039,"S1_HMP","S1","HMP"
"365",0.173824223990685,"S1_HMP","S1","HMP"
"366",-0.0163360842585729,"S1_HMP","S1","HMP"
"367",0.132589641445911,"S1_HMP","S1","HMP"
"368",-0.182129346293084,"S1_HMP","S1","HMP"
"369",0.0861267512719289,"S1_HMP","S1","HMP"
"370",0.0341369527026617,"S1_HMP","S1","HMP"
"371",-0.122307077785218,"S1_HMP","S1","HMP"
"372",-0.304767610307326,"S1_HMP","S1","HMP"
"373",-0.161813128670635,"S1_HMP","S1","HMP"
"374",-0.133867817885982,"S1_HMP","S1","HMP"
"375",-0.0643668654058357,"S1_HMP","S1","HMP"
"376",0.987915580817285,"S1_HMP","S1","HMP"
"377",0.00772627828669351,"S1_HMP","S1","HMP"
"378",-0.104235445940081,"S1_HMP","S1","HMP"
"379",-0.237421146950335,"S1_HMP","S1","HMP"
"380",-0.13061674117149,"S1_HMP","S1","HMP"
"381",-0.411670584823727,"S1_HMP","S1","HMP"
"382",-0.025475478689246,"S1_HMP","S1","HMP"
"383",0.0702298681925982,"S1_HMP","S1","HMP"
"384",-0.282456652227194,"S1_HMP","S1","HMP"
"385",0.542460548158,"S1_HMP","S1","HMP"
"386",-0.134076530563165,"S1_HMP","S1","HMP"
"387",-0.0392975071984519,"S1_HMP","S1","HMP"
"388",-0.483752180009465,"S1_HMP","S1","HMP"
"389",-0.13019751081674,"S1_HMP","S1","HMP"
"390",-0.0604203334618092,"S1_HMP","S1","HMP"
"391",-0.154627706634358,"S1_HMP","S1","HMP"
"392",0.0693988452054511,"S1_HMP","S1","HMP"
"393",-0.102406162529577,"S1_HMP","S1","HMP"
"394",-0.578506366850069,"S1_HMP","S1","HMP"
"395",-0.165500420958254,"S1_HMP","S1","HMP"
"396",0.0807017003015991,"S1_HMP","S1","HMP"
"397",-0.460074788855294,"S1_HMP","S1","HMP"
"398",-0.107066020047842,"S1_HMP","S1","HMP"
"399",-0.12985416831776,"S1_HMP","S1","HMP"
"400",-0.07675685219587,"S1_HMP","S1","HMP"
"401",-0.186790159259405,"S1_HMP","S1","HMP"
"402",0.0118008657021191,"S1_HMP","S1","HMP"
"403",-0.0193886999544658,"S1_HMP","S1","HMP"
"404",0.0455755760809363,"S1_HMP","S1","HMP"
