"","B73_S1","Mo17_S1","H_S1","acs_S1","S1_HMP","S1_acs_B73","S1_B73_Mo17","HP","LP","Category","B73_S2","Mo17_S2","H_S2","acs_S2","S2_HMP","S2_acs_B73","S2_B73_Mo17","HP.1","LP.1","Category.1","B73_S34","Mo17_S34","H_S34","acs_S34","S34_HMP","S34_acs_B73","S34_B73_Mo17","HP.2","LP.2","Category.2"
"Zm00001d006153_T005",94510.7621,76229.46113,97227.25448,98169.86041,0.187629717392298,0.0548015431299301,0.310129943144643,"B73","Mo17","AHP",67958.11023,58081.82617,71457.59462,90891.14859,0.181278324887027,0.419494069982421,0.226558920509005,"B73","Mo17","AHP",65543.558165,54891.296845,69833.463025,82301.268,0.213737440112514,0.328460663513333,0.255876570246054,"B73","Mo17","AHP"
"Zm00001d018325_T001",22541.14449,24732.15192,28959.34242,16264.19664,0.293003374863257,-0.470861204763441,-0.133827004786033,"Mo17","B73","AHP",26349.45016,31976.59686,32308.50301,28450.70905,0.147773605484142,0.110691750768804,-0.279243549654741,"Mo17","B73","AHP",31873.436605,32421.496745,40105.107045,32611.58541,0.319080910379444,0.033029999929914,-0.0245961153208743,"Mo17","B73","AHP"
"Zm00001d021452_T017",42436.38462,35396.61823,40230.86125,34428.6022,0.0479206047199005,-0.30169414193838,0.261690217927376,"B73","Mo17","Additive",36926.78019,35935.70755,35208.58004,34011.27685,-0.0492492092142116,-0.118654304376026,0.0392493810007591,"B73","Mo17","BLP",30449.524095,30565.75221,34520.691785,28199.966995,0.178290882675241,-0.110726205875091,-0.00549639166113439,"Mo17","B73","AHP"
"Zm00001d042676_T001",3627.660104,5618.127842,4330.188822,4307.610169,-0.094366338040924,0.247848406536322,-0.631050165811234,"Mo17","B73","Additive",2832.916738,3000.066102,3050.524006,3793.704956,0.0648232540558829,0.421319281622342,-0.0827060884940163,"Mo17","B73","AHP",4305.4777575,3548.537207,3508.524254,2476.1158885,-0.162566011198122,-0.798094497296785,0.278948901897696,"B73","Mo17","BLP"
"Zm00001d014572_T007",35869.03045,37968.58587,29142.1334,44522.72267,-0.341249483357292,0.31180307022915,-0.0820675177910476,"Mo17","B73","BLP",34885.36014,53429.90095,35142.43272,39773.64643,-0.329448695841335,0.189191106416408,-0.615025615228546,"Mo17","B73","PD-L/LP",31929.369765,45718.255125,29305.62433,32206.66624,-0.405764222691471,0.0124752562538987,-0.517886266271821,"Mo17","B73","BLP"
"Zm00001d052066_T001",95437.70602,77074.62902,89125.94456,153099.8361,0.0472178447978917,0.68184146702058,0.308303325950721,"B73","Mo17","Additive",85100.97084,101321.5318,88232.05657,79589.53839,-0.0792011972467347,-0.0965967815580978,-0.251693297771221,"Mo17","B73","Additive",85474.908805,110963.55873,110545.0155,101069.37173,0.170556502302306,0.241772982673645,-0.37651307888893,"Mo17","B73","Additive"
"Zm00001d003750_T001",44918.24791,38122.82149,44103.3521,69045.58426,0.0870632900035324,0.620247496552131,0.236646756974475,"B73","Mo17","Additive",43561.90992,26880.35085,34739.20463,40703.00707,-0.0198764884238178,-0.0979318263629005,0.696515239978986,"B73","Mo17","Additive",48110.18001,28725.85955,36117.65225,48901.92339,-0.0890790419964995,0.0235490123249567,0.743992134863389,"B73","Mo17","Additive"
"Zm00001d053138_T001",5678.431968,8695.326222,9753.48765,3865.494211,0.440552773920146,-0.554839724181225,-0.614747552537101,"Mo17","B73","AHP",5562.485289,7625.981182,7324.844408,9353.293074,0.151593199113239,0.749744777849159,-0.455193355546703,"Mo17","B73","Additive",7214.8065795,11360.742497,7626.397853,8173.2198915,-0.284331155680027,0.179943830887278,-0.655024503862714,"Mo17","B73","Additive"
"Zm00001d033402_T002",11073.1226,12666.19756,9418.949808,11875.36807,-0.333640503452623,0.100910112799878,-0.193921370199454,"Mo17","B73","BLP",9144.5855,7256.493873,8093.277044,7781.906465,-0.0189948764508723,-0.23279413801337,0.333645129643213,"B73","Mo17","Additive",9735.5228875,7460.9909815,7968.7659165,10029.0071935,-0.109687903367029,0.0428484234023833,0.383891202661322,"B73","Mo17","Additive"
"Zm00001d012477_T001",42243.02755,52517.41068,41081.63702,48709.77346,-0.205791199218533,0.205498037401011,-0.31408255121494,"Mo17","B73","BLP",38852.5136,46562.96504,39727.12771,32409.81239,-0.104373043102224,-0.261577268786844,-0.261174991046647,"Mo17","B73","Additive",30458.32338,38393.11527,32285.547425,36024.518435,-0.0925983105319624,0.242142616120209,-0.334011098295176,"Mo17","B73","Additive"
